doc_id,posting_date,account,amount_usd,description,source_system,vendor_invoice_ref,customer_ref,entity_id
CLR-2023-001,2023-04-01,1900,68000.00,NetSuite Cutover Balancing Entry,LEGACY_MIGRATION,,,ENT-IN-02
CLR-2023-002,2023-04-02,1900,68000.00,NetSuite Cutover Balancing Entry,LEGACY_MIGRATION,,,ENT-IN-02
CLR-2023-003,2023-04-03,1900,68000.00,NetSuite Cutover Balancing Entry,LEGACY_MIGRATION,,,ENT-IN-02
CLR-2023-004,2023-04-03,1900,68000.00,NetSuite Cutover Balancing Entry,LEGACY_MIGRATION,,,ENT-IN-02
CLR-2023-005,2023-04-04,1900,68000.00,NetSuite Cutover Balancing Entry,LEGACY_MIGRATION,,,ENT-IN-02
CLR-2023-006,2023-04-04,1900,68000.00,NetSuite Cutover Balancing Entry,LEGACY_MIGRATION,,,ENT-IN-02
CLR-2023-007,2023-04-05,1900,68000.00,NetSuite Cutover Balancing Entry,LEGACY_MIGRATION,,,ENT-IN-02
CLR-2023-008,2023-04-05,1900,68000.00,NetSuite Cutover Balancing Entry,LEGACY_MIGRATION,,,ENT-IN-02
CLR-2023-009,2023-04-05,1900,68000.00,NetSuite Cutover Balancing Entry,LEGACY_MIGRATION,,,ENT-IN-02
CLR-2023-010,2023-06-30,1900,64000.00,FX REVAL Unreversed Q2,GL_ADJ,,,ENT-IN-02
CLR-2023-011,2023-09-30,1900,64000.00,FX REVAL Unreversed Q3,GL_ADJ,,,ENT-IN-02
CLR-2023-012,2023-12-31,1900,64000.00,FX REVAL Unreversed Q4,GL_ADJ,,,ENT-IN-02
CLR-2024-013,2024-03-31,1900,64000.00,FX REVAL Unreversed Q1,GL_ADJ,,,ENT-IN-02
CLR-2024-014,2024-06-30,1900,64000.00,FX REVAL Unreversed Q2,GL_ADJ,,,ENT-IN-02
CLR-2024-015,2024-09-30,1900,64000.00,FX REVAL Unreversed Q3,GL_ADJ,,,ENT-IN-02
CLR-2024-016,2024-03-11,1900,14714.29,Duplicate AP Vendor Feed,AP_INVOICE,VND-2024-0311,,ENT-IN-02
CLR-2024-017,2024-03-11,1900,14714.29,Duplicate AP Vendor Feed,AP_INVOICE,VND-2024-0311,,ENT-IN-02
CLR-2024-018,2024-03-11,1900,14714.29,Duplicate AP Vendor Feed,AP_INVOICE,VND-2024-0311,,ENT-IN-02
CLR-2024-019,2024-03-11,1900,14714.29,Duplicate AP Vendor Feed,AP_INVOICE,VND-2024-0311,,ENT-IN-02
CLR-2024-020,2024-03-11,1900,14714.29,Duplicate AP Vendor Feed,AP_INVOICE,VND-2024-0311,,ENT-IN-02
CLR-2024-021,2024-03-11,1900,14714.29,Duplicate AP Vendor Feed,AP_INVOICE,VND-2024-0311,,ENT-IN-02
CLR-2024-022,2024-03-11,1900,14714.29,Duplicate AP Vendor Feed,AP_INVOICE,VND-2024-0311,,ENT-IN-02
CLR-2024-023,2024-03-11,1900,14714.29,Duplicate AP Vendor Feed,AP_INVOICE,VND-2024-0311,,ENT-IN-02
