doc_id,posting_date,gl_account,account_description,amount_usd,description,source_system,vendor_invoice_ref,counterparty,clearing_ref
MIG-20230401-01,2023-04-01,1900,Intercompany Clearing,68000.00,Legacy migration cutover opening balance load 01,LEGACY_MIGRATION,,,
MIG-20230401-02,2023-04-01,1900,Intercompany Clearing,72000.00,Legacy migration cutover opening balance load 02,LEGACY_MIGRATION,,,
MIG-20230402-01,2023-04-02,1900,Intercompany Clearing,54000.00,Legacy migration cutover subledger sync 01,LEGACY_MIGRATION,,,
MIG-20230402-02,2023-04-02,1900,Intercompany Clearing,85000.00,Legacy migration cutover subledger sync 02,LEGACY_MIGRATION,,,
MIG-20230403-01,2023-04-03,1900,Intercompany Clearing,45000.00,Legacy migration cutover clearing reconciliation 01,LEGACY_MIGRATION,,,
MIG-20230403-02,2023-04-03,1900,Intercompany Clearing,95000.00,Legacy migration cutover clearing reconciliation 02,LEGACY_MIGRATION,,,
MIG-20230404-01,2023-04-04,1900,Intercompany Clearing,63000.00,Legacy migration cutover intercompany suspense 01,LEGACY_MIGRATION,,,
MIG-20230405-01,2023-04-05,1900,Intercompany Clearing,50000.00,Legacy migration cutover final adjustments 01,LEGACY_MIGRATION,,,
MIG-20230405-02,2023-04-05,1900,Intercompany Clearing,80000.00,Legacy migration cutover final adjustments 02,LEGACY_MIGRATION,,,
CLR-FX-2023-01,2023-06-30,1900,Intercompany Clearing,64000.00,FX REVAL - Month-end balance revaluation Q2 2023,GL_ADJ,,,
CLR-FX-2023-02,2023-09-30,1900,Intercompany Clearing,58000.00,FX REVAL - Month-end balance revaluation Q3 2023,GL_ADJ,,,
CLR-FX-2023-03,2023-12-31,1900,Intercompany Clearing,72000.00,FX REVAL - Year-end balance revaluation 2023,GL_ADJ,,,
CLR-FX-2024-01,2024-06-30,1900,Intercompany Clearing,60000.00,FX REVAL - Month-end balance revaluation Q2 2024,GL_ADJ,,,
CLR-FX-2024-02,2024-12-31,1900,Intercompany Clearing,75000.00,FX REVAL - Year-end balance revaluation 2024,GL_ADJ,,,
CLR-FX-2025-01,2025-06-30,1900,Intercompany Clearing,55000.00,FX REVAL - Month-end balance revaluation Q2 2025,GL_ADJ,,,
CLR-2024-0311-01,2024-03-11,1900,Intercompany Clearing,12000.00,AP vendor feed duplicate batch - Datadog,AP_FEED,DD-INV-9921,Datadog,
CLR-2024-0311-02,2024-03-11,1900,Intercompany Clearing,12000.00,AP vendor feed duplicate batch - Datadog,AP_FEED,DD-INV-9921,Datadog,
CLR-2024-0311-03,2024-03-11,1900,Intercompany Clearing,18000.00,AP vendor feed duplicate batch - Snowflake,AP_FEED,SF-INV-4412,Snowflake,
CLR-2024-0311-04,2024-03-11,1900,Intercompany Clearing,18000.00,AP vendor feed duplicate batch - Snowflake,AP_FEED,SF-INV-4412,Snowflake,
CLR-2024-0311-05,2024-03-11,1900,Intercompany Clearing,8500.00,AP vendor feed duplicate batch - Confluent,AP_FEED,CFL-INV-3019,Confluent,
CLR-2024-0311-06,2024-03-11,1900,Intercompany Clearing,8500.00,AP vendor feed duplicate batch - Confluent,AP_FEED,CFL-INV-3019,Confluent,
CLR-2024-0311-07,2024-03-11,1900,Intercompany Clearing,25000.00,AP vendor feed duplicate batch - MongoDB,AP_FEED,MDB-INV-8102,MongoDB,
CLR-2024-0311-08,2024-03-11,1900,Intercompany Clearing,25000.00,AP vendor feed duplicate batch - MongoDB,AP_FEED,MDB-INV-8102,MongoDB,
CLR-2024-0311-09,2024-03-11,1900,Intercompany Clearing,14500.00,AP vendor feed duplicate batch - PagerDuty,AP_FEED,PD-INV-1194,PagerDuty,
CLR-2024-0311-10,2024-03-11,1900,Intercompany Clearing,14500.00,AP vendor feed duplicate batch - PagerDuty,AP_FEED,PD-INV-1194,PagerDuty,
CLR-2024-0311-11,2024-03-11,1900,Intercompany Clearing,9000.00,AP vendor feed duplicate batch - Atlassian,AP_FEED,ATL-INV-6652,Atlassian,
CLR-2024-0311-12,2024-03-11,1900,Intercompany Clearing,9000.00,AP vendor feed duplicate batch - Atlassian,AP_FEED,ATL-INV-6652,Atlassian,
CLR-2024-0311-13,2024-03-11,1900,Intercompany Clearing,16000.00,AP vendor feed duplicate batch - Twilio,AP_FEED,TW-INV-7731,Twilio,
CLR-2024-0311-14,2024-03-11,1900,Intercompany Clearing,16000.00,AP vendor feed duplicate batch - Twilio,AP_FEED,TW-INV-7731,Twilio,
CLR-PLUG-2024-06,2024-06-30,1900,Intercompany Clearing,25000.00,IC margin plug - June 2024 uninvestigated variance,MANUAL_JOURNAL,,,
CLR-PLUG-2024-07,2024-07-31,1900,Intercompany Clearing,28000.00,IC margin plug - July 2024 uninvestigated variance,MANUAL_JOURNAL,,,
CLR-PLUG-2024-08,2024-08-31,1900,Intercompany Clearing,24000.00,IC margin plug - August 2024 uninvestigated variance,MANUAL_JOURNAL,,,
CLR-PLUG-2024-09,2024-09-30,1900,Intercompany Clearing,31000.00,IC margin plug - September 2024 uninvestigated variance,MANUAL_JOURNAL,,,
CLR-PLUG-2024-10,2024-10-31,1900,Intercompany Clearing,26000.00,IC margin plug - October 2024 uninvestigated variance,MANUAL_JOURNAL,,,
CLR-PLUG-2024-11,2024-11-30,1900,Intercompany Clearing,29000.00,IC margin plug - November 2024 uninvestigated variance,MANUAL_JOURNAL,,,
CLR-PLUG-2024-12,2024-12-31,1900,Intercompany Clearing,32000.00,IC margin plug - December 2024 uninvestigated variance,MANUAL_JOURNAL,,,
CLR-PLUG-2025-01,2025-01-31,1900,Intercompany Clearing,22000.00,IC margin plug - January 2025 uninvestigated variance,MANUAL_JOURNAL,,,
CLR-PLUG-2025-02,2025-02-28,1900,Intercompany Clearing,27000.00,IC margin plug - February 2025 uninvestigated variance,MANUAL_JOURNAL,,,
CLR-PLUG-2025-03,2025-03-31,1900,Intercompany Clearing,25000.00,IC margin plug - March 2025 uninvestigated variance,MANUAL_JOURNAL,,,
CLR-PLUG-2025-04,2025-04-30,1900,Intercompany Clearing,21000.00,IC margin plug - April 2025 uninvestigated variance,MANUAL_JOURNAL,,,
CLR-REC-2024-06,2024-06-30,1900,Intercompany Clearing,85000.00,Uncollected receivable - CUST-4471 - June 2024 services,AR_BILLING,,CUST-4471,
CLR-REC-2024-07,2024-07-31,1900,Intercompany Clearing,88000.00,Uncollected receivable - CUST-4471 - July 2024 services,AR_BILLING,,CUST-4471,
CLR-REC-2024-08,2024-08-31,1900,Intercompany Clearing,90000.00,Uncollected receivable - CUST-4471 - August 2024 services,AR_BILLING,,CUST-4471,
CLR-UNTR-01,2023-02-15,1900,Intercompany Clearing,7500.00,Suspense balance carryover,SUSPENSE,,,
CLR-UNTR-02,2023-03-20,1900,Intercompany Clearing,5200.00,Unidentified clearing variance,MANUAL_JOURNAL,,,
CLR-UNTR-03,2023-05-18,1900,Intercompany Clearing,8100.00,Manual suspense clearance adjustment,SUSPENSE,,,
CLR-UNTR-04,2023-08-10,1900,Intercompany Clearing,6400.00,Legacy clearing unreconciled balance,GL_ADJ,,,
CLR-UNTR-05,2023-11-22,1900,Intercompany Clearing,9300.00,Unmatched bank clearing entry,MANUAL_JOURNAL,,,
CLR-UNTR-06,2024-02-14,1900,Intercompany Clearing,4800.00,Unidentified rounding difference,GL_ADJ,,,
CLR-UNTR-07,2024-05-19,1900,Intercompany Clearing,7200.00,Historical suspense migration diff,SUSPENSE,,,
CLR-UNTR-08,2024-10-08,1900,Intercompany Clearing,8500.00,Unresolved intercompany clearing variance,MANUAL_JOURNAL,,,
CLR-UNTR-09,2025-01-15,1900,Intercompany Clearing,6900.00,Suspense account balancing entry,GL_ADJ,,,
CLR-UNTR-10,2025-05-20,1900,Intercompany Clearing,11400.00,Unidentified operational variance,MANUAL_JOURNAL,,,
CLR-UNTR-11,2025-09-12,1900,Intercompany Clearing,7800.00,Clearing account unallocated balance,SUSPENSE,,,
CLR-UNTR-12,2026-02-10,1900,Intercompany Clearing,8900.00,Unidentified suspense balance carryover,MANUAL_JOURNAL,,,
